np,model,topo,radix,spread_mode,spread_avg,off-fail,on-fail,runs,min_steps,max_steps,steps_avg,min_in_spread,max_in_spread,in_spread_avg,min_out_spread,max_out_spread,out_spread_avg,min_msgs,max_msgs,msgs_avg,min_data,max_data,data_avg,min_queue,max_queue,queue_avg,min_dead,max_dead,dead_avg
2,0,3,2,0,0,0.00,0.00,1,12,12,12.00,0,0,0.00,0,0,0.00,3,3,3.00,4,4,4.00,1,1,1.00,0,0,0.00
4,0,3,2,0,0,0.00,0.00,1,36,36,36.00,0,0,0.00,11,11,11.00,9,9,9.00,22,22,22.00,1,1,1.00,0,0,0.00
4,0,3,3,0,0,0.00,0.00,1,28,28,28.00,0,0,0.00,3,3,3.00,11,11,11.00,23,23,23.00,2,2,2.00,0,0,0.00
4,0,3,4,0,0,0.00,0.00,1,14,14,14.00,0,0,0.00,0,0,0.00,13,13,13.00,16,16,16.00,1,1,1.00,0,0,0.00
8,0,3,2,0,0,0.00,0.00,1,60,60,60.00,0,0,0.00,22,22,22.00,22,22,22.00,96,96,96.00,2,2,2.00,0,0,0.00
8,0,3,3,0,0,0.00,0.00,1,39,39,39.00,0,0,0.00,12,12,12.00,23,23,23.00,88,88,88.00,2,2,2.00,0,0,0.00
8,0,3,4,0,0,0.00,0.00,1,38,38,38.00,0,0,0.00,11,11,11.00,27,27,27.00,92,92,92.00,1,1,1.00,0,0,0.00
8,0,3,5,0,0,0.00,0.00,1,39,39,39.00,0,0,0.00,12,12,12.00,42,42,42.00,139,139,139.00,4,4,4.00,0,0,0.00
8,0,3,6,0,0,0.00,0.00,1,40,40,40.00,0,0,0.00,14,14,14.00,58,58,58.00,181,181,181.00,5,5,5.00,0,0,0.00
8,0,3,7,0,0,0.00,0.00,1,36,36,36.00,0,0,0.00,11,11,11.00,79,79,79.00,273,273,273.00,5,5,5.00,0,0,0.00
8,0,3,8,0,0,0.00,0.00,1,18,18,18.00,0,0,0.00,0,0,0.00,57,57,57.00,64,64,64.00,1,1,1.00,0,0,0.00
16,0,3,2,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,33,33,33.00,46,46,46.00,344,344,344.00,2,2,2.00,0,0,0.00
16,0,3,3,0,0,0.00,0.00,1,62,62,62.00,0,0,0.00,21,21,21.00,48,48,48.00,343,343,343.00,2,2,2.00,0,0,0.00
16,0,3,4,0,0,0.00,0.00,1,42,42,42.00,0,0,0.00,11,11,11.00,51,51,51.00,348,348,348.00,3,3,3.00,0,0,0.00
